시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,운중동,7507,운중초등학교,불꽃공원,37.391350 ,127.066567 ,쉘터형,"103(시내),누리3(시내),220(시내),9003(시내),350(시내),9004(시내),330(시내),341(시내),9007(시내),1303(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7508,차그룹컨소시엄,차그룹컨소시엄앞,37.403350 ,127.110950 ,쉘터형,"357(시내),4000(시내),4500(시내),380(시내),330(시내),누리4(시내),누리2(시내),382(시내),3000(시내),310(시내),350(시내),9507(시내),315(시내),370(시내),55(시내),73-2(마을),73-1(마을)",해당없음,N,N,Y,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7509,한국무역정보통신,한국무역정보통신,37.403083 ,127.110983 ,쉘터형,"73-2(마을),55(시내),4500(시내),73-1(마을),9507(시내),누리4(시내),82(마을),107(마을),390(시내),380(시내),315(시내),370(시내),382(시내),누리2(시내),330(시내),310(시내),4000(시내),357(시내),350(시내),6003(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7510,봇들육교,유라코퍼레이션건너,37.403367 ,127.107667 ,쉘터형,"73-2(마을),66(마을),602-1A(마을),602-1B(마을),73(마을),71(마을),602-2B(마을),73-1(마을),370(시내),330(시내),310(시내),누리2(시내),101(시내),4500(시내),315(시내),4000(시내),380(시내),9507(시내),357(시내),55(시내),382(시내),누리4(시내),3000(시내),9007(시내),3100(시내),350(시내)",해당없음,N,N,N,Y,N,LED(5단16열),일반의자,N,N,N
성남시,삼평동,7511,유라코퍼레이션.SK케미칼,미래형자동차R&D센터,37.403067 ,127.107683 ,쉘터형,"73-2(마을),602-1B(마을),9007(시내),4500(시내),602-1A(마을),602-2B(마을),71(마을),66(마을),73-1(마을),73(마을),누리4(시내),누리2(시내),357(시내),55(시내),3100(시내),310(시내),9507(시내),382(시내),380(시내),350(시내),6003(시내),4000(시내),330(시내),315(시내),101(시내),370(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7512,이노밸리.포스코ICT,판교이노밸리클러스터,37.403367 ,127.102817 ,쉘터형,"75(마을),73(마을),4000(시내),4500(시내),71(마을),602-1B(마을),602-2B(마을),73-1(마을),602-1A(마을),350(시내),315(시내),330(시내),1007-1(시내),9007(시내),380(시내),누리4(시내),357(시내)",5000판교-인.공(시외),N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7513,SK플래닛.판교디지털센터,판교이노밸리클러스터건너,37.403017 ,127.103100 ,쉘터형,"75(마을),380(시내),602-1A(마을),71(마을),602-1B(마을),602-2B(마을),73(마을),73-1(마을),9007(시내),4500(시내),330(시내),4000(시내),350(시내),누리4(시내),315(시내),357(시내),1007-1(시내)",5000판교-인.공(시외),N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7514,낙생지하차도,힐스테이트건너,37.392950 ,127.109483 ,지주형,602-1A(마을),해당없음,N,N,N,Y,N,LED(3단6열),미설치,N,N,N
성남시,운중동,7515,뫼루니육교,눈꽃공원,37.391283 ,127.083033 ,쉘터형,"350(시내),9507(시내),73(마을),340(시내),누리3(시내),4500(시내),9004(시내),75(마을),32(마을),9003(시내),330(시내),220(시내),4000(시내),9409(서울),1007-1(시내),9007(시내),1303(시내),103(시내),341(시내)",해당없음,N,N,Y,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7516,화랑공원동편,공원앞,37.397417 ,127.106833 ,쉘터형,"P9540(퇴근)(시내),P9530(퇴근)(시내),P9242(퇴근)(시내),6900(시내),9507(시내),5700A(시내),1007(시내),P9243(퇴근)(시내),5700B(시내),5600(시내),1009(시내),P9100(퇴근)(시내),P9241(퇴근)(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
