정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
동아전기,42647,562,880,562,880,,48
동아전기,42725,922,815,919,815,3,57
동아정밀,42037,1432,2893,1431,2893,1,144
동아풍림아파트,37037,14457,16532,14448,16532,9,1032
동암국민주택,40014,3316,830,3268,830,48,138
동암국민주택,40015,630,1961,619,1961,11,86
동암남부역,40034,38215,26942,38215,26942,,2171
동암남부역,40797,128287,108170,127826,108170,461,7881
동암남부역,40861,846,6489,846,6489,,244
동암남부역,40862,18281,13079,18279,13079,2,1045
동암북부역,40013,31389,15285,31263,15285,126,1555
동암북부역,40035,9515,30025,9483,30025,32,1318
동암북부역광장,40800,69195,52964,68849,52964,346,4071
동암사거리,40001,14063,15048,14052,15048,11,970
동암사거리,40003,3465,5665,3439,5665,26,304
동양도서관,41522,6032,3589,6016,3589,16,320
동양도서관(휴먼빌아파트),41523,3688,4551,3679,4551,9,274
동양엔파트4단지,42820,2220,4262,2212,4262,8,216
동양엔파트4단지,42837,4187,1721,4182,1721,5,196
동양엔파트5단지,42986,2512,3144,2511,3144,1,188
동양자이입구,41554,2424,3623,2408,3623,16,201
동양자이입구,41555,2664,2389,2662,2389,2,168
동양장사거리,37301,7881,6208,7850,6208,31,469
동양주공1.2단지,41372,10780,2847,10751,2847,29,454
동양주공1.2단지,41373,2591,7488,2582,7488,9,335
동양지구1단지정문,41521,709,2001,709,2001,,90
동양지구입구,41445,4190,496,4167,496,23,156
동양지구입구,41446,1073,5819,1072,5819,1,229
동양하이테크,42966,19,242,19,242,,8
동원로얄듀크마리나포레,35890,1162,483,1162,483,,54
동원로얄듀크마리나포레,35891,333,1093,333,1093,,47
동원아파트,25166,207,289,204,289,3,16
동원아파트,25167,367,140,362,140,5,16
동원아파트,37376,4467,2030,4459,2030,8,216
동원아파트,37379,1668,2613,1666,2613,2,142
동인천,35188,28260,34037,28260,34037,,2076
동인천(우리은행앞),35517,529,355,515,355,14,29
동인천동행정복지센터,35795,34,371,34,371,,13
